Ability,Frame,Prevalence
Ballistic Battery,Mesa,109
Soul Punch,Nekros,97
Sandstorm,Inaros,94
Spectral Scream,Chroma,77
Shock,Volt,77
Charge,Rhino,67
Radial Javelin,Excalibur,51
Navigator,Ivara,51
Iron Staff,Wukong,49
Shuriken,Ash,49
Will-o-wisp,Wisp,45
Temporal Anchor,Protea,44
Slash Dash,Excalibur,43
Sol Gate,Wisp,43
Devour,Inaros,43
Tempest Barrage,Hydroid,37
Decoy,Loki,37
Thermal Sunder,Gauss,36
Radial Disarm,Loki,34
Desecrate,Inaros,34
Molt,Saryn,34
Blade Storm,Ash,33
Defy,Wukong,30
Discharge,Volt,29
Terrify,Nekros,29
Well of Life,Trinity,29
Ensnare,Khora,27
Lantern,Titania,27
Fireball,Ember,26
Sleight of Hand,Mirage,25
Rift Surge,Limbo,23
Tidal Surge,Hydroid,23
Balefire,Hildryn,21
Resonator,Octavia,20
Antimatter Drop,Nova,19
Pull,Mag,19
Banish,Limbo,19
Xata’s Whisper,Xaku,19
Rip Line,Valkyr,19
Prism,Mirage,19
Stomp,Rhino,18
Petrify,Atlas,18
Breach Surge,Wisp,17
Venari,Khora,17
Elude,Baruuk,17
Smite,Oberon,17
Airburst,Zephyr,17
Wormhole,Nova,16
Paralysis,Valkyr,16
Sonic Boom,Banshee,15
